Ticker,Company,Sector,Industry,Country,Volume,Price,stak score
A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,2075520,73.32,-0.22
AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2518885,22.51,-0.168
AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,196859,13.89,0.555
AABA,Altaba Inc.,Financial,Asset Management,USA,6422393,69.26,-0.685
AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,724426,0.66,-0.002
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,3438,49.79,0.109
AAL,American Airlines Group Inc.,Services,Major Airlines,USA,8910811,32.15,0.249
AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,4649,13.94,-0.084
AAME,Atlantic American Corporation,Financial,Life Insurance,USA,1492,2.48,-0.204
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,537967,61.35,0.251
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,298608,8.88,-0.39899999999999997
AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,132334,49.4,0.11900000000000001
AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,870130,153.27,0.541
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,22062856,199.46,-0.345
AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,376512,48.03,-0.013999999999999999
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,316388,0.6,-0.08199999999999999
AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,220745,41.93,0.068
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,1022225,69.66,-0.19899999999999998
AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,1014630,73.21,-0.315
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,251591,29.39,0.094
ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,1637270,19.79,-0.325
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,5346635,78.34,0.005
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,1880400,85.56,0.373
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,253887,37.96,0.40700000000000003
ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,24001,8.54,-0.16699999999999998
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,1211492,4.76,0.389
ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,13904910,4.82,-0.335
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,135610,83.16,0.013000000000000001
ABIL,Ability Inc.,Technology,Communication Equipment,Israel,241789,0.97,0.40299999999999997
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,190496,6.33,-0.474
ABM,ABM Industries Incorporated,Services,Business Services,USA,243739,40.0,-0.361
ABMD,"Abiomed, Inc.",Healthcare,Medical Appliances & Equipment,USA,465821,260.33,0.159
ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,982604,12.43,0.384
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,6336554,84.94,-0.08800000000000001
ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,39047,33.45,-0.063
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,4449021,2.36,-0.478
AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,14306,35.11,0.20199999999999999
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,955478,25.73,0.315
ACAM,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,100,9.8,0.08
ACAMU,Acamar Partners Acquisition Corp.,Conglomerates,Conglomerates,USA,15400,10.01,0.026000000000000002
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Other,Canada,9193225,7.44,-0.588
ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,54091,16.9,0.344
ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,443109,47.34,-0.17
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,581775,7.89,0.36200000000000004
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,140758,17.51,0.08199999999999999
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,3654,29.41,-0.21600000000000003
ACGL,Arch Capital Group Ltd.,Financial,Property & Casualty Insurance,Bermuda,1257240,36.42,-0.273
ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,51664,25.09,0.065
ACGLP,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,57934,24.09,0.439
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,62681,9.06,0.7829999999999999
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,761377,34.52,0.35600000000000004
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,534357,2.88,0.637
